Batch number,Y1         ,Y2         ,Y3         ,Y4         ,Y5         ,Y6         ,Y7         ,Y8         ,Y9         ,Y10        ,Y11   ,Solvent Concentration
Batch 1,91.52,2.81,0.07,0.74,0.09,98.6,0.03,0.02,0.21,26,0.15,4.98
Batch 2,91.39,1.61,0.06,0.75,0.11,98.82,0,0,0.21,28.4,0.07,4.77
Batch 3,91.06,1.65,0.06,0.64,0.1,99.01,0,0,0.19,26,0.51,4.74
Batch 4,91.68,2.26,0,0.57,0,99.16,0,0,0,24,0.56,4.78
Batch 5,91.71,2.95,0.07,0.71,0.09,98.9,0,0,0.2,32,0.16,4.53
Batch 6,91.55,1.97,0.05,0.35,0.07,99.31,0,0,0.21,21,0.59,4.74
Batch 7,90.62,1.26,0.08,0.7,0.08,98.94,0,0,0.2,,0.25,4.7
Batch 8,91.03,1.75,0.05,0.36,0.07,98.69,0,0,0.2,23,0.3,4.53
Batch 9,91.38,2.37,0,0.74,0.08,98.73,0,0,0.3,24,0.33,4.98
Batch 10,91.18,,0,0.34,0,99.35,0,0,0.28,23,0.09,5.04
Batch 11,92.07,,0,0.27,0,99.15,0,0.04,0.31,26,0.04,4.99
Batch 12,91.44,,0,0.2,0,99.44,0,0,0.27,29,0.06,4.91
Batch 13,91.36,1.89,0.02,0.52,0.09,98.89,0,0,0.25,20,0.1,4.54
Batch 14,92.42,1.73,0,0.09,0,99.65,0,0,0.27,16,0.64,4.62
Batch 15,91.73,2.11,0,0.3,0.05,99.45,0,0,0.21,25,0.17,4.75
Batch 16,91.63,,0,0.3,0,99.49,0,0,0.17,26,0.12,4.87
Batch 17,91.85,1.9,0,0.29,0,99.57,0,0,0.14,19,0.07,4.97
Batch 18,91.46,1.87,0,0.2,0,99.51,0,0,0.21,20,1.62,4.89
Batch 19,91.04,1.84,0,0.4,0.09,97.81,0.22,0,0.3,24,0.05,4.69
Batch 20,92.33,2.8,0,0.5,0,99.11,0,0,0.18,23,0.29,4.77
Batch 21,91.8,,0,0.83,0.07,98.57,0,0,0.25,24,0.13,4.99
Batch 22,91.55,,0,1.04,0.05,98.23,0,0,0.27,21,0.19,5
Batch 23,91.19,,0,0.65,0.05,98.97,0,0,0.34,24,0.01,5.04
Batch 24,91.01,,0,0.27,0,98.97,0,0,0.27,22,0.75,5.02
Batch 25,90.48,2.09,0,0.71,0,98.91,0,0,0.27,26,0.05,4.79
Batch 26,90.5,,0.23,1.09,0.16,98.15,0,0,0.24,26,0.32,4.97
Batch 27,91.56,1.94,0.04,0.95,0.09,98.5,0,0,0.21,24,0.38,5
