Time,A_Feed_S1,D_Feed_S2,E_Feed_S3,Total_Feed_S4,Recycle_Flow_S8,Reactor_Feed_Rate_S6,Reactor_Pressure,Reactor_Level,Reactor_Temperature,Purge_Rate_S9,Product_Sep_Temp,Product_Sep_Level,Prod_Sep_Pressure,Prod_Sep_Underflow_S10,Stripper_Level,Stripper_Pressure,Stripper_Underflow_S11,Stripper_Temp,Stripper_Steam_Flow,Compressor_Work,Reactor_Cooling_Water_Outlet_Temp,Separator_Cooling_Water_Outlet_Temp,Composition_A_S6,Composition_B_S6,Composition_C_S6,Composition_D_S6,Composition_E_S6,Composition_F_S6,Composition_A_S9,Composition_B_S9,Composition_C_S9,Composition_D_S9,Composition_E_S9,Composition_F_S9,Composition_G_S9,Composition_H_S9,Composition_D_S11,Composition_E_S11,Composition_F_S11,Composition_G_S11,Composition_H_S11,D_Feed_Flow_Stream_2,E_Feed_Flow_Stream_3,A_Feed_Flow_Stream_1,Total_Feed_Flow_Stream_4,Compressor_Recycle_Valve,Purge_Valve_Stream_9,Separator_Pot_Liquid_Flow_Stream_10,Stripper_Liquid_Product_Flow_Stream_11,Stripper_Steam_Valve,Reactor_Cooling_Water_Flow,Condensor_Cooling_Water_Flow
1,0.25232,3690.2,4511.2,9.4053,26.612,42.617,2704.8,75.034,120.41,0.33884,80.13,49.81,2633.8,26.391,48.854,3102.7,22.517,65.751,229.82,341.56,94.539,77.218,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,62.601,53.957,24.467,61.007,22.084,39.854,37.541,43.882,47.49,41.136,19.143
2,0.2508,3654.5,4543.2,9.3659,27.008,42.606,2704.4,74.933,120.41,0.3399,80.072,48.71,2633.5,24.976,49.442,3102,23.325,65.749,229.31,341.62,94.639,76.824,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,63.217,53.574,24.616,60.54,22.162,39.724,34.304,45.243,47.536,41.286,17.261
3,0.25089,3704.4,4497.5,9.2095,26.929,42.518,2703.5,75.397,120.38,0.33715,79.935,51.381,2632.1,25.007,50.057,3102,22.335,65.69,229.36,341.4,94.59,77.139,32.072,8.8068,26.364,6.8182,18.993,1.6795,33.002,13.989,23.93,1.3188,19.033,2.2362,4.8134,2.2885,0.017866,0.8357,0.098577,53.724,43.828,62.357,54.12,24.615,61.994,22.18,40.059,42.165,46.665,47.534,41.294,19.603
4,0.25246,3651.9,4465.2,9.3347,27.263,42.361,2704.6,75.066,120.39,0.33615,79.979,50.893,2632.3,24.147,50.798,3101.5,22.862,65.668,230.13,341.31,94.674,77.351,32.072,8.8068,26.364,6.8182,18.993,1.6795,33.002,13.989,23.93,1.3188,19.033,2.2362,4.8134,2.2885,0.017866,0.8357,0.098577,53.724,43.828,63.262,54.507,24.461,62.988,22.177,40.181,40.727,48.38,47.469,40.841,18.343
5,0.26132,3690.7,4502.6,9.2814,26.853,42.055,2706.2,75.08,120.44,0.3534,80.253,49.768,2635.3,25.053,48.325,3103.2,23.214,65.709,230.5,341.72,94.539,77.731,32.246,8.875,26.85,6.8194,18.242,1.6794,32.945,13.861,24.194,1.2022,18.966,2.2689,4.7974,2.2911,0.017866,0.8357,0.098577,53.724,43.828,63.183,53.511,25.917,61.19,22.297,42.653,37.418,42.657,47.436,41.728,17.46
6,0.26395,3714.3,4492.1,9.4964,26.671,42.465,2706.3,75.198,120.39,0.35467,80.375,50.15,2635.6,26.248,49.975,3104.5,22.84,65.769,230.93,341.1,94.535,77.773,32.246,8.875,26.85,6.8194,18.242,1.6794,32.945,13.861,24.194,1.2022,18.966,2.2689,4.7974,2.2911,0.017538,0.8338,0.10241,54.363,43.351,62.776,53.636,25.659,59.512,22.12,42.499,38.543,46.475,47.394,41.152,18.325
7,0.24721,3671.2,4544.7,9.4061,26.855,42.344,2705.1,74.021,120.39,0.34114,80.293,50.146,2634.4,24.538,50.223,3104.3,22.682,65.826,227.05,341.15,94.462,77.258,32.611,8.8138,26.51,6.8333,18.306,1.6627,32.844,13.766,23.481,1.3229,18.628,2.3303,4.8922,2.2902,0.017538,0.8338,0.10241,54.363,43.351,63.568,54.875,24.039,60.367,22.066,40.864,38.531,47.05,47.734,41.763,18.729
8,0.24603,3686.7,4571.5,9.4568,27.224,42.485,2705.9,74.366,120.4,0.34166,80.255,48.163,2634.7,23.62,50.941,3103.9,22.477,65.809,230.13,341.22,94.457,77.59,32.611,8.8138,26.51,6.8333,18.306,1.6627,32.844,13.766,23.481,1.3229,18.628,2.3303,4.8922,2.2902,0.017538,0.8338,0.10241,54.363,43.351,63.3,54.554,24.155,60.787,22.299,40.8,32.694,48.712,47.456,41.32,19.189
9,0.2077,3692.6,4556.8,9.4069,26.883,42.023,2703.5,74.806,120.4,0.33255,80.18,49.926,2633.2,26.024,51.186,3101.7,21.882,65.835,230.71,341.38,94.53,76.825,32.123,8.9267,25.53,6.6699,18.82,1.6358,32.733,13.854,23.801,1.3296,18.644,2.2791,4.8945,2.2523,0.017538,0.8338,0.10241,54.363,43.351,63.129,54.658,20.49,61.449,22.263,39.366,37.881,49.278,47.401,40.796,20.649
10,0.20641,3697,4588.8,9.3997,27.025,41.959,2701,75.34,120.39,0.33134,79.998,50.693,2629.8,25.387,50.905,3100.5,22.967,65.785,229.41,340.7,94.533,77.39,32.123,8.9267,25.53,6.6699,18.82,1.6358,32.733,13.854,23.801,1.3296,18.644,2.2791,4.8945,2.2523,0.017538,0.8338,0.10241,54.363,43.351,63.054,54.275,20.618,59.265,21.986,39.513,40.139,48.629,47.517,40.67,18.054
