Time,A_Feed_S1,D_Feed_S2,E_Feed_S3,Total_Feed_S4,Recycle_Flow_S8,Reactor_Feed_Rate_S6,Reactor_Pressure,Reactor_Level,Reactor_Temperature,Purge_Rate_S9,Product_Sep_Temp,Product_Sep_Level,Prod_Sep_Pressure,Prod_Sep_Underflow_S10,Stripper_Level,Stripper_Pressure,Stripper_Underflow_S11,Stripper_Temp,Stripper_Steam_Flow,Compressor_Work,Reactor_Cooling_Water_Outlet_Temp,Separator_Cooling_Water_Outlet_Temp,Composition_A_S6,Composition_B_S6,Composition_C_S6,Composition_D_S6,Composition_E_S6,Composition_F_S6,Composition_A_S9,Composition_B_S9,Composition_C_S9,Composition_D_S9,Composition_E_S9,Composition_F_S9,Composition_G_S9,Composition_H_S9,Composition_D_S11,Composition_E_S11,Composition_F_S11,Composition_G_S11,Composition_H_S11,D_Feed_Flow_Stream_2,E_Feed_Flow_Stream_3,A_Feed_Flow_Stream_1,Total_Feed_Flow_Stream_4,Compressor_Recycle_Valve,Purge_Valve_Stream_9,Separator_Pot_Liquid_Flow_Stream_10,Stripper_Liquid_Product_Flow_Stream_11,Stripper_Steam_Valve,Reactor_Cooling_Water_Flow,Condensor_Cooling_Water_Flow
961.0,0.24851,3690.7,4504.0,9.1843,27.122,42.422,2705.0,75.614,120.41,0.33388,80.137,50.62,2634.1,25.067,48.118,3102.9,22.935,65.745,229.53,341.18,94.598,77.306,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,62.594,54.044,24.841,61.897,22.387,40.46,39.924,42.177,47.515,41.118,18.14
962.0,0.2505,3690.2,4517.0,9.3336,26.966,42.428,2704.2,75.214,120.38,0.33679,80.024,50.061,2632.4,24.39,48.707,3101.3,23.926,65.741,231.18,341.34,94.573,76.996,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,62.602,53.888,24.646,63.913,22.071,40.104,38.28,43.541,47.368,40.753,15.818
963.0,0.2512,3666.6,4472.9,9.45,26.671,42.204,2704.6,74.859,120.4,0.33896,80.001,50.618,2633.5,25.228,50.978,3100.9,22.514,65.709,232.46,341.57,94.712,77.114,31.813,8.8846,26.009,6.7545,18.873,1.6851,33.198,13.692,23.857,1.201,18.791,2.2867,4.7565,2.3091,0.017866,0.8357,0.098577,53.724,43.828,63.008,54.415,24.585,59.369,22.195,39.838,39.919,48.797,47.256,41.155,19.171
964.0,0.25096,3645.6,4528.1,9.4076,26.828,42.21,2704.4,74.495,120.41,0.33633,80.034,50.288,2633.9,26.171,49.743,3102.5,22.755,65.672,230.82,341.51,94.512,77.401,31.813,8.8846,26.009,6.7545,18.873,1.6851,33.198,13.692,23.857,1.201,18.791,2.2867,4.7565,2.3091,0.017866,0.8357,0.098577,53.724,43.828,63.37,53.754,24.609,61.347,22.313,40.158,38.948,45.939,47.405,40.867,18.58
965.0,0.29016,3678.5,4471.9,9.4456,27.078,42.423,2706.5,74.667,120.42,0.3175,80.16,50.741,2635.6,26.157,49.97,3105.0,23.263,65.709,230.77,341.01,94.512,77.32,32.171,8.8845,26.546,6.7287,18.764,1.6463,33.008,13.658,23.998,1.2782,18.801,2.2435,4.8615,2.296,0.017866,0.8357,0.098577,53.724,43.828,63.982,54.18,28.262,57.781,22.295,38.863,40.282,46.465,47.41,41.116,17.372
966.0,0.28699,3719.2,4538.0,9.375,26.839,42.484,2707.0,75.115,120.41,0.32335,80.154,50.418,2636.0,24.305,49.841,3104.2,23.228,65.728,230.82,341.48,94.366,77.243,32.171,8.8845,26.546,6.7287,18.764,1.6463,33.008,13.658,23.998,1.2782,18.801,2.2435,4.8615,2.296,0.013378,0.84479,0.0995,54.192,44.136,63.282,53.39,28.575,60.191,22.338,38.15,39.331,46.165,47.403,42.094,17.462
967.0,0.25732,3715.7,4526.8,9.3307,27.029,42.225,2706.8,74.975,120.41,0.31744,80.139,49.763,2635.8,26.414,50.025,3103.2,22.359,65.73,227.67,341.57,94.467,77.148,31.953,8.9328,26.012,6.7751,18.896,1.7094,33.388,13.855,24.002,1.3833,18.371,2.2957,4.8364,2.2531,0.013378,0.84479,0.0995,54.192,44.136,63.7,53.784,25.077,60.924,22.448,37.738,37.401,46.592,47.686,41.154,19.522
968.0,0.25634,3706.9,4518.3,9.2349,26.664,42.386,2703.0,74.346,120.41,0.31868,79.89,48.428,2632.2,27.11,51.307,3100.5,21.636,65.734,231.9,341.36,94.379,76.872,31.953,8.9328,26.012,6.7751,18.896,1.7094,33.388,13.855,24.002,1.3833,18.371,2.2957,4.8364,2.2531,0.013378,0.84479,0.0995,54.192,44.136,63.852,53.886,25.172,63.07,21.973,37.587,33.473,49.559,47.309,41.778,21.28
969.0,0.27843,3701.1,4500.8,9.4777,26.76,41.999,2701.5,74.386,120.42,0.33712,79.868,50.029,2630.1,25.263,50.294,3098.5,22.985,65.675,231.02,341.47,94.531,76.903,32.239,8.8521,26.137,6.691,18.843,1.6593,32.668,13.905,23.854,1.2203,18.785,2.2755,4.8472,2.2208,0.013378,0.84479,0.0995,54.192,44.136,63.668,53.764,27.402,58.993,22.185,40.5,38.186,47.214,47.391,41.418,18.09
970.0,0.27731,3756.5,4468.0,9.2791,26.595,42.618,2701.9,74.945,120.41,0.33718,79.984,49.362,2631.3,25.454,50.112,3098.6,23.505,65.662,233.54,341.74,94.377,77.41,32.239,8.8521,26.137,6.691,18.843,1.6593,32.668,13.905,23.854,1.2203,18.785,2.2755,4.8472,2.2208,0.013378,0.84479,0.0995,54.192,44.136,62.714,54.156,27.513,61.507,22.065,40.492,36.223,46.794,47.171,41.257,16.828
