DEPTH,BVW,CARB_FLAG,COAL_FLAG,KLOGH,KLOGV,PHIF,RHOFL,RHOMA,RW,SAND_FLAG,SW,TEMP,VSH
3768.09,0.034643,0,0,0.0002,0.0001,0.034643,0.9,2.66,0.0214721,0,1,113.7916,0.661
3768.2424,0.032957,0,0,0.0001,0,0.032957,0.9,2.66,0.0214716,0,1,113.7951,0.6946
3768.3948,0.010825,0,0,0,0,0.010825,0.9,2.66,0.021471,0,1,113.7986,0.7812
3768.5472,0.017037,0,0,0,0,0.017037,0.9,2.66,0.0214705,0,1,113.8022,0.9155
3768.6996,0.044282,0,0,0,0,0.044282,0.9,2.66,0.0214699,0,1,113.8057,0.9545
3768.852,0.061909,0,0,0,0,0.061909,0.9,2.66,0.0214693,0,1,113.8092,1.409
3769.0044,0.061932,0,0,0,0,0.061932,0.9,2.66,0.0214688,0,1,113.8127,2.0277
3769.1568,0.100273,0,0,0,0,0.172582,0.9,2.66,0.0214682,0,0.581,113.8162,2.2511
3769.3092,0.109279,0,0,0,0,0.26295,0.9,2.66,0.0214677,0,0.4156,113.8198,2.2587
3769.4616,0.099749,0,0,0,0,0.229589,0.9,2.66,0.0214671,0,0.4345,113.8233,2.324
3769.614,0.088398,0,0,0,0,0.225573,0.9,2.66,0.0214666,0,0.3919,113.8268,2.4026
3769.7664,0.082779,0,0,0,0,0.231243,0.9,2.66,0.021466,0,0.358,113.8303,2.3013
3769.9188,0.079871,0,0,0,0,0.22898,0.9,2.66,0.0214654,0,0.3488,113.8338,2.1879
3770.0712,0.085552,0,0,0,0,0.243163,0.9,2.66,0.0214649,0,0.3518,113.8373,2.12
3770.2236,0.093058,0,0,0,0,0.270986,0.9,2.66,0.0214643,0,0.3434,113.8409,2.1048
3770.376,0.083115,0,0,0,0,0.253025,0.9,2.66,0.0214638,0,0.3285,113.8444,2.0853
3770.5284,0.071452,0,0,0,0,0.190991,0.9,2.66,0.0214632,0,0.3741,113.8479,2.0714
3770.6808,0.075709,0,0,0,0,0.167077,0.9,2.66,0.0214626,0,0.4531,113.8514,1.6977
3770.8332,0.083048,0,0,0,0,0.171585,0.9,2.66,0.0214621,0,0.484,113.8549,1.4032
3770.9856,0.076444,0,0,0,0,0.13868,0.9,2.66,0.0214615,0,0.5512,113.8585,1.4517
3771.138,0.066439,0,0,0,0,0.155092,0.9,2.66,0.021461,0,0.4284,113.862,1.5913
